epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,398.893,0.38567,0.53388,0.92805,0.70819,0.75986,0.82561,0.68052,0.84326,1.6992,1.30419,0.000139028,0.000139028,0.000139028
103,402.678,0.36178,0.583,0.90658,0.84124,0.66913,0.81273,0.66593,0.82457,1.67362,1.25831,0.000136276,0.000136276,0.000136276
104,406.554,0.35514,0.52694,0.92348,0.67886,0.77365,0.82363,0.66662,0.80228,1.58001,1.22631,0.000133523,0.000133523,0.000133523
105,410.358,0.38852,0.54935,0.9256,0.69966,0.77732,0.85294,0.69712,0.8091,1.49612,1.25393,0.000130771,0.000130771,0.000130771
106,414.028,0.36145,0.5642,0.90458,0.71604,0.78677,0.85202,0.6973,0.80131,1.41448,1.24887,0.000128019,0.000128019,0.000128019
107,417.751,0.36725,0.52703,0.89792,0.7567,0.79052,0.85496,0.68306,0.78973,1.37974,1.22708,0.000125267,0.000125267,0.000125267
108,421.542,0.37969,0.54801,0.92575,0.73559,0.78625,0.83115,0.67407,0.79421,1.33931,1.22113,0.000122515,0.000122515,0.000122515
109,425.244,0.37187,0.52239,0.89154,0.73604,0.82456,0.83319,0.68209,0.8222,1.39294,1.22387,0.000119762,0.000119762,0.000119762
110,428.938,0.35632,0.56622,0.92604,0.78582,0.77342,0.8258,0.67758,0.81944,1.30438,1.23551,0.00011701,0.00011701,0.00011701
111,432.611,0.35158,0.50054,0.913,0.78622,0.80446,0.84565,0.69257,0.78753,1.20888,1.24779,0.000114258,0.000114258,0.000114258
112,436.398,0.36506,0.54417,0.91844,0.69945,0.78279,0.82058,0.66212,0.84026,1.22245,1.35835,0.000111506,0.000111506,0.000111506
113,440.234,0.33302,0.50681,0.92116,0.70345,0.76729,0.82758,0.68778,0.82152,1.26762,1.31853,0.000108754,0.000108754,0.000108754
114,444.095,0.34571,0.55943,0.9332,0.69854,0.75578,0.83474,0.69132,0.8049,1.34668,1.26302,0.000106001,0.000106001,0.000106001
115,447.921,0.3273,0.57865,0.91536,0.66943,0.81304,0.8141,0.68281,0.79866,1.44104,1.2421,0.000103249,0.000103249,0.000103249
116,451.78,0.35888,0.51546,0.92487,0.63612,0.8278,0.82646,0.68699,0.81759,1.49291,1.23911,0.000100497,0.000100497,0.000100497
117,455.534,0.32457,0.49321,0.91618,0.65719,0.68331,0.8108,0.67642,0.90244,1.58177,1.32237,9.77448e-05,9.77448e-05,9.77448e-05
118,459.224,0.31165,0.44505,0.89682,0.67085,0.7073,0.81625,0.66982,0.92903,1.60246,1.3412,9.49926e-05,9.49926e-05,9.49926e-05
119,462.921,0.33261,0.54499,0.9057,0.76343,0.66507,0.82395,0.67248,0.89114,1.54839,1.28677,9.22404e-05,9.22404e-05,9.22404e-05
